restaurant,cuisine_type,location,price_level,rating,review_count,Latitude,Longitude
Healy Mac's Irish Bar & Restaurant,"Irish,Bar,European","3A-G9 & G10, Straits Quay Jalan Seri Tanjung Pinang, Tanjung Tokong, Penang Island Malaysia",2,4.5,1409,5.4580314,100.3133518
Knife and Fork Restaurant,"Asian,Vegetarian Friendly","1-2B Eden Parade Jalan Sungai Emas, Batu Ferringhi Batu Ferringhi, Batu Ferringhi, Penang Island 11100 Malaysia",1,5,240,5.4759723,100.2523891
Two Frenchies Cafe Bistrot,"French,European,Vegetarian Friendly","36 Lebuh Bishop, George Town, Penang Island 10200 Malaysia",2,5,439,5.4185796,100.3418116
Salsas Penang,"Bar,Vegetarian Friendly","86, Love Lane, George Town, Penang Island 10200 Malaysia",2,4.5,199,5.4187207,100.3363801
Cheang Kee,"Chinese,Seafood,Asian","433 Chulia Street, George Town, Penang Island 10200 Malaysia",1,5,362,5.419114,100.3343925
Orinea by Farquhar Mansion,"Contemporary,Vegetarian Friendly,Vegan Options","68-18-1, Sunrise Gurney, Persiaran Gurney, George Town, Penang Island 10250 Malaysia",3,4.5,843,5.4382652,100.3100319
The Loft - Love Lane,"European,Neapolitan,Campania","57 Love Lane, George Town, Penang Island 10200 Malaysia",2,4.5,408,5.4189576,100.3367247
Laksalicious,"Asian,Nonya/Malaysian,Malaysian","Laksalicious 117A Hutton Lane Georgetown, Penang Island 10050 Malaysia",1,4.5,388,5.420095,100.3300579
SUPE - Georgetown Branch,"Cafe,Sushi,Asian","No 12 Gat Lebuh Acheh, George Town, Penang Island 10300 Malaysia",2,4.5,251,5.4130315,100.3379799
Junk Cafe,"Bar,Cafe,Gastropub","No 1 Jalan Pintal Tali, George Town, Penang Island 10100 Malaysia",2,4.5,388,5.4184474,100.3353722
Kebaya Dining Room,"Chinese,Asian,Fusion","2-16 Lorong Stewart, George Town, Penang Island 10200 Malaysia",3,4.5,1534,5.4184463,100.3387211
