restaurant,cuisine_type,location,price_level,rating,review_count,Latitude,Longitude,url,image_url
Healy Mac's Irish Bar & Restaurant,"Irish,Bar,European","3A-G9 & G10, Straits Quay Jalan Seri Tanjung Pinang, Tanjung Tokong, Penang Island Malaysia",2,4.5,1409,5.4580314,100.3133518,https://www.tripadvisor.com.my/Restaurant_Review-g660694-d3313970-Reviews-Healy_Mac_s_Irish_Bar_Restaurant-Penang_Island_Penang.html,https://media-cdn.tripadvisor.com/media/photo-p/13/0e/16/1e/photo7jpg.jpg
Knife and Fork Restaurant,"Asian,Vegetarian Friendly","1-2B Eden Parade Jalan Sungai Emas, Batu Ferringhi Batu Ferringhi, Batu Ferringhi, Penang Island 11100 Malaysia",1,5,240,5.4759723,100.2523891,https://www.tripadvisor.com.my/Restaurant_Review-g635527-d7616995-Reviews-Knife_and_Fork_Restaurant-Batu_Ferringhi_Penang_Island_Penang.html,https://media-cdn.tripadvisor.com/media/photo-s/1b/66/cd/01/20200608-125954-largejpg.jpg
Two Frenchies Cafe Bistrot,"French,European,Vegetarian Friendly","36 Lebuh Bishop, George Town, Penang Island 10200 Malaysia",2,5,439,5.4185796,100.3418116,https://www.tripadvisor.com.my/Restaurant_Review-g298303-d13334848-Reviews-Two_Frenchies_Cafe_Bistrot-George_Town_Penang_Island_Penang.html,https://media-cdn.tripadvisor.com/media/photo-w/1b/18/07/60/photo4jpg.jpg
Salsas Penang,"Bar,Vegetarian Friendly","86, Love Lane, George Town, Penang Island 10200 Malaysia",2,4.5,199,5.4187207,100.3363801,https://www.tripadvisor.com.my/Restaurant_Review-g298303-d873166-Reviews-Salsas_Penang-George_Town_Penang_Island_Penang.html,https://media-cdn.tripadvisor.com/media/photo-s/19/26/ff/9d/combo-platter.jpg
Cheang Kee,"Chinese,Seafood,Asian","433 Chulia Street, George Town, Penang Island 10200 Malaysia",1,5,362,5.419114,100.3343925,https://www.tripadvisor.com.my/Restaurant_Review-g298303-d17433943-Reviews-Cheang_Kee-George_Town_Penang_Island_Penang.html,https://media-cdn.tripadvisor.com/media/photo-s/25/16/f0/64/551-l-jalan-wee-hein.jpg
Orinea by Farquhar Mansion,"Contemporary,Vegetarian Friendly,Vegan Options","68-18-1, Sunrise Gurney, Persiaran Gurney, George Town, Penang Island 10250 Malaysia",3,4.5,843,5.4382652,100.3100319,https://www.tripadvisor.com.my/Restaurant_Review-g298303-d8015707-Reviews-Orinea_by_Farquhar_Mansion-George_Town_Penang_Island_Penang.html,https://media-cdn.tripadvisor.com/media/photo-s/29/6d/3c/2d/it-s-an-experience-that.jpg
The Loft - Love Lane,"European,Neapolitan,Campania","57 Love Lane, George Town, Penang Island 10200 Malaysia",2,4.5,408,5.4189576,100.3367247,https://www.tripadvisor.com.my/Restaurant_Review-g298303-d17334602-Reviews-The_Loft_Love_Lane-George_Town_Penang_Island_Penang.html,https://media-cdn.tripadvisor.com/media/photo-s/18/3a/3d/cd/traditional-hand-crafted.jpg
Laksalicious,"Asian,Nonya/Malaysian,Malaysian","Laksalicious 117A Hutton Lane Georgetown, Penang Island 10050 Malaysia",1,4.5,388,5.420095,100.3300579,https://www.tripadvisor.com.my/Restaurant_Review-g660694-d8703517-Reviews-Laksalicious-Penang_Island_Penang.html,https://media-cdn.tripadvisor.com/media/photo-s/16/a0/d5/e8/photo6jpg.jpg
SUPE - Georgetown Branch,"Cafe,Sushi,Asian","No 12 Gat Lebuh Acheh, George Town, Penang Island 10300 Malaysia",2,4.5,251,5.4130315,100.3379799,https://www.tripadvisor.com.my/Restaurant_Review-g298303-d5431834-Reviews-SUPE_Georgetown_Branch-George_Town_Penang_Island_Penang.html,https://media-cdn.tripadvisor.com/media/daodao/photo-p/16/1a/f7/47/photo2jpg.jpg
Junk Cafe,"Bar,Cafe,Gastropub","No 1 Jalan Pintal Tali, George Town, Penang Island 10100 Malaysia",2,4.5,388,5.4184474,100.3353722,https://www.tripadvisor.com.my/Restaurant_Review-g298303-d6105379-Reviews-Junk_Cafe-George_Town_Penang_Island_Penang.html,https://media-cdn.tripadvisor.com/media/photo-s/0a/3e/7d/c7/junk-cafe.jpg
Kebaya Dining Room,"Chinese,Asian,Fusion","2-16 Lorong Stewart, George Town, Penang Island 10200 Malaysia",3,4.5,1534,5.4184463,100.3387211,https://www.tripadvisor.com.my/Restaurant_Review-g298303-d3675401-Reviews-Kebaya_Dining_Room-George_Town_Penang_Island_Penang.html,https://media-cdn.tripadvisor.com/media/photo-s/00/00/c7/e2/dreams-of-peranakan-weeding.jpg
Kota Dine & Coffee,"Cafe,Asian,Fusion","Jalan Tun Syed Sheh Barakbah, George Town, Penang Island 10200 Malaysia",2,4.5,419,5.4217431,100.3426947,https://www.tripadvisor.com.my/Restaurant_Review-g298303-d8842919-Reviews-Kota_Dine_Coffee-George_Town_Penang_Island_Penang.html,https://media-cdn.tripadvisor.com/media/photo-s/12/bc/54/38/nasi-lemak-cornetto.jpg
Andrew's Kampung,"Chinese,Asian,Nonya/Malaysian","Eden Parade 2nd Floor, Batu Ferringhi, Penang Island 11100 Malaysia",1,4.5,1374,5.4759723,100.2523891,https://www.tripadvisor.com.my/Restaurant_Review-g635527-d3830801-Reviews-Andrew_s_Kampung-Batu_Ferringhi_Penang_Island_Penang.html,https://media-cdn.tripadvisor.com/media/photo-s/1a/94/d4/17/img-20200106-153559-largejpg.jpg
Pit Stop no.12,"Cafe,Vegetarian Friendly,Vegan Options","12 Lorong Chulia, George Town, Penang Island 10200 Malaysia",2,4.5,223,5.4182741,100.3372891,https://www.tripadvisor.com.my/Restaurant_Review-g298303-d5932357-Reviews-Pit_Stop_no_12-George_Town_Penang_Island_Penang.html,https://media-cdn.tripadvisor.com/media/photo-p/1a/56/fa/ff/pit-stop-12.jpg
My Own Cafe,"Cafe,Asian,Malaysian","2 Lebuh Cannon Opposite Khoo Kongsi, George Town, Penang Island 10200 Malaysia",1,4.5,429,5.4151933,100.3366914,https://www.tripadvisor.com.my/Restaurant_Review-g298303-d5572672-Reviews-My_Own_Cafe-George_Town_Penang_Island_Penang.html,https://media-cdn.tripadvisor.com/media/photo-p/13/36/1f/d9/photo1jpg.jpg
Kimpo Famous Roasted,"Chinese,Asian,Malaysian","No. 20 Leith Street, George Town, Penang Island 10000 Malaysia",1,4.5,233,5.4210744,100.3343995,https://www.tripadvisor.com.my/Restaurant_Review-g298303-d5967417-Reviews-Kimpo_Famous_Roasted-George_Town_Penang_Island_Penang.html,https://media-cdn.tripadvisor.com/media/photo-s/11/71/9d/b5/caption.jpg
